valid_at,pm2p5,relative_humidity,temperature,pressure,wind_speed,cloud_coverage
2022-12-30 23:48:44,426.81,92.04,1.63,1026,1.03,0
2022-12-30 23:30:41,447.22,91.11,2.08,1026,1.03,0
2022-12-30 23:15:43,446.78,86.61,3.17,1026,1.03,0
2022-12-30 23:02:09,485.75,91.48,2.06,1026,1.03,0
2022-12-30 22:45:43,615.95,91.21,2.02,1025,1.54,0
2022-12-30 22:30:38,502.28,90.75,2.3,1025,1.54,0
2022-12-30 22:15:50,463.12,91.49,2.41,1025,1.54,0
2022-12-30 22:00:47,581.44,90.33,2.34,1025,1.54,0
2022-12-30 21:45:44,473.26,90.62,2.61,1024,1.03,40
2022-12-30 21:30:39,426.0,89.66,2.51,1024,1.03,40
2022-12-30 21:15:43,461.04,90.01,2.75,1024,1.03,40
2022-12-30 21:00:41,413.67,90.27,2.71,1024,1.03,40
2022-12-30 20:45:39,428.49,89.74,2.5,1024,1.03,64
2022-12-30 20:30:41,397.32,89.12,2.58,1024,1.03,64
2022-12-30 20:15:34,437.06,87.1,3.06,1024,1.03,64
2022-12-30 20:00:39,423.9,81.17,4.55,1024,1.03,64
2022-12-30 19:51:33,447.18,83.32,4.07,1024,1.54,94
2022-12-30 19:45:38,1472.49,88.86,2.96,1024,1.54,94
2022-12-30 19:30:37,381.2,88.37,3.28,1024,1.54,94
2022-12-30 19:15:38,316.88,88.44,3.48,1024,1.54,94
2022-12-30 19:00:37,327.48,88.07,3.55,1024,1.54,94
2022-12-30 18:45:39,330.29,87.14,3.75,1023,2.06,77
2022-12-30 18:30:17,291.41,86.67,3.86,1023,2.06,77
2022-12-30 18:15:26,278.4,81.27,5.0,1023,2.06,77
2022-12-30 18:01:51,222.88,86.0,3.93,1023,2.06,77
2022-12-30 17:46:50,213.98,85.93,3.96,1023,1.03,72
2022-12-30 17:30:21,216.68,85.36,4.4,1023,1.03,72
2022-12-30 17:15:18,154.65,85.0,4.55,1023,1.03,72
2022-12-30 17:00:26,155.1,84.02,4.51,1023,1.03,72
2022-12-30 16:45:20,157.9,83.19,4.66,1022,0.51,20
2022-12-30 16:30:25,133.89,82.24,5.03,1022,0.51,20
2022-12-30 16:15:18,110.77,81.48,5.34,1022,0.51,20
2022-12-30 16:00:31,111.82,80.76,5.89,1022,0.51,20
2022-12-30 15:45:24,97.59,79.95,6.43,1021,1.54,56
2022-12-30 15:30:28,76.4,78.86,6.97,1021,1.54,56
2022-12-30 15:15:27,70.61,78.03,7.67,1021,1.54,56
2022-12-30 15:00:32,88.97,76.81,8.44,1021,1.54,56
2022-12-30 14:45:31,68.87,72.18,9.91,1021,1.03,65
2022-12-30 14:31:57,77.53,76.25,8.79,1021,1.03,65
2022-12-30 14:15:34,61.7,74.33,9.84,1021,1.03,65
2022-12-30 14:00:27,56.19,73.44,10.02,1021,1.03,65
2022-12-30 13:45:24,62.31,72.76,10.05,1021,1.34,35
2022-12-30 13:30:34,69.61,72.54,10.17,1021,1.34,35
2022-12-30 13:15:30,61.53,72.73,10.3,1021,1.34,35
2022-12-30 13:00:28,59.72,71.05,10.39,1021,1.34,35
2022-12-30 12:45:27,58.84,68.4,11.14,1021,0.89,0
2022-12-30 12:30:28,54.89,68.28,12.03,1021,0.89,0
2022-12-30 12:15:35,48.55,66.83,12.89,1021,0.89,0
2022-12-30 12:00:43,53.41,63.42,14.29,1021,0.89,0
2022-12-30 11:47:36,45.38,67.56,13.15,1021,1.03,0
2022-12-30 11:31:05,51.2,71.67,14.01,1021,1.03,0
2022-12-30 11:16:08,50.98,71.58,14.49,1021,1.03,0
2022-12-30 11:01:06,51.11,74.41,13.41,1021,1.03,0
2022-12-30 10:46:04,53.35,82.75,10.12,1021,0.51,0
2022-12-30 10:31:09,57.48,86.45,7.37,1021,0.51,0
2022-12-30 10:15:55,60.54,84.75,7.33,1021,0.51,0
2022-12-30 10:00:53,60.03,89.36,5.28,1021,0.51,0
2022-12-30 09:46:03,55.99,90.95,4.79,1021,1.03,0
2022-12-30 09:30:46,63.2,91.14,4.22,1021,1.03,0
2022-12-30 09:15:48,55.53,90.81,3.85,1021,1.03,0
2022-12-30 09:00:47,56.38,90.66,3.96,1021,1.03,0
2022-12-30 08:45:47,63.48,93.07,3.78,1021,2.06,0
2022-12-30 08:30:47,50.76,95.48,2.51,1021,2.06,0
2022-12-30 08:15:45,97.49,94.59,1.01,1021,2.06,0
2022-12-30 08:00:44,132.82,93.54,0.48,1021,2.06,0
2022-12-30 07:45:45,140.76,92.87,0.32,1020,2.57,0
2022-12-30 07:30:40,184.21,91.98,0.28,1020,2.57,0
2022-12-30 07:15:43,169.39,92.94,0.25,1020,2.57,0
2022-12-30 07:00:43,150.29,91.95,0.17,1020,2.57,0
2022-12-30 06:45:46,147.44,92.09,0.41,1020,2.57,0
2022-12-30 06:30:41,139.65,92.41,0.56,1020,2.57,0
2022-12-30 06:15:44,136.99,92.65,0.45,1020,2.57,0
2022-12-30 06:00:40,114.82,92.5,0.46,1020,2.57,0
2022-12-30 05:45:42,103.18,92.22,0.46,1020,2.57,82
2022-12-30 05:30:39,93.77,92.04,0.83,1020,2.57,82
2022-12-30 05:15:45,73.56,92.68,0.85,1020,2.57,82
2022-12-30 05:00:39,74.48,91.51,0.73,1020,2.57,82
2022-12-30 04:45:45,69.68,91.12,0.81,1020,1.54,89
2022-12-30 04:30:39,68.56,86.51,1.92,1020,1.54,89
2022-12-30 04:17:09,71.72,91.36,0.84,1020,1.54,89
2022-12-30 04:00:41,54.79,91.65,1.06,1020,1.54,89
2022-12-30 03:45:42,63.56,90.56,1.39,1020,1.54,75
2022-12-30 03:30:40,59.02,91.56,1.67,1020,1.54,75
2022-12-30 03:15:47,85.18,90.98,1.85,1020,1.54,75
2022-12-30 03:00:41,69.61,92.74,2.25,1020,1.54,75
2022-12-30 02:45:43,66.98,93.32,2.01,1020,1.54,75
2022-12-30 02:30:42,80.9,93.54,1.82,1020,1.54,75
2022-12-30 02:15:41,83.03,91.65,1.63,1020,1.54,75
2022-12-30 02:00:40,86.58,91.24,1.77,1020,1.54,75
2022-12-30 01:45:44,76.37,90.78,1.99,1020,1.03,0
2022-12-30 01:30:42,74.62,86.88,3.26,1020,1.03,0
2022-12-30 01:17:13,57.05,91.79,2.19,1020,1.03,0
2022-12-30 01:00:46,63.5,91.85,2.57,1020,1.03,0
2022-12-30 00:45:45,55.38,92.32,2.57,1020,2.06,0
2022-12-30 00:30:40,69.58,92.49,2.41,1020,2.06,0
2022-12-30 00:16:03,108.88,92.61,2.44,1020,2.06,0
2022-12-30 00:00:47,126.42,92.22,2.27,1020,2.06,0
2022-12-29 23:45:46,175.75,92.39,2.2,1020,1.03,20
2022-12-29 23:30:41,214.62,92.14,2.08,1020,1.03,20
2022-12-29 23:15:43,184.88,92.2,2.04,1020,1.03,20
2022-12-29 23:00:36,189.96,90.88,1.88,1020,1.03,20
2022-12-29 22:45:40,170.24,91.42,2.05,1021,0.51,20
2022-12-29 22:30:36,176.67,91.51,2.04,1021,0.51,20
2022-12-29 22:15:40,191.24,90.23,1.91,1021,0.51,20
2022-12-29 22:00:40,141.79,89.32,2.08,1021,0.51,20
2022-12-29 21:45:38,122.63,89.54,2.54,1021,1.03,40
2022-12-29 21:30:27,86.65,89.45,2.94,1021,1.03,40
2022-12-29 21:15:31,93.15,89.38,3.35,1021,1.03,40
2022-12-29 21:00:27,89.29,89.82,3.55,1021,1.03,40
2022-12-29 20:45:29,86.82,89.03,3.45,1021,2.06,40
2022-12-29 20:30:28,73.14,88.48,3.72,1021,2.06,40
2022-12-29 20:15:37,67.87,88.82,4.06,1021,2.06,40
2022-12-29 20:00:30,65.33,89.2,4.2,1021,2.06,40
2022-12-29 19:45:27,58.78,89.28,4.31,1021,1.54,100
2022-12-29 19:30:26,66.35,89.47,4.16,1021,1.54,100
2022-12-29 19:15:27,59.51,88.68,4.11,1021,1.54,100
2022-12-29 19:00:32,59.86,88.82,4.18,1021,1.54,100
2022-12-29 18:45:27,63.32,88.17,3.95,1021,0.51,0
2022-12-29 18:30:27,63.82,87.39,3.95,1021,0.51,0
2022-12-29 18:15:30,62.63,86.88,3.96,1021,0.51,0
2022-12-29 18:00:30,68.28,86.97,4.06,1021,0.51,0
2022-12-29 17:45:32,57.21,86.4,4.18,1021,2.06,93
2022-12-29 17:30:32,52.8,85.71,4.28,1021,2.06,93
2022-12-29 17:15:29,52.09,85.13,4.43,1021,2.06,93
2022-12-29 17:00:42,43.58,84.33,4.9,1021,2.06,93
2022-12-29 16:45:33,36.27,83.79,5.56,1021,0.45,92
2022-12-29 16:30:30,35.45,83.35,6.29,1021,0.45,92
2022-12-29 16:15:27,37.36,83.62,6.83,1021,0.45,92
2022-12-29 16:00:30,29.94,83.06,7.08,1021,0.45,92
2022-12-29 15:45:31,25.65,82.22,7.53,1020,1.54,91
2022-12-29 15:30:37,29.34,81.63,8.09,1020,1.54,91
2022-12-29 15:15:38,28.69,80.92,8.58,1020,1.54,91
2022-12-29 15:00:39,26.28,80.44,8.92,1020,1.54,0
2022-12-29 14:45:47,36.53,80.26,9.23,1020,1.54,87
2022-12-29 14:30:39,38.36,78.47,10.0,1020,1.54,87
2022-12-29 14:15:42,32.34,78.54,10.29,1020,1.54,87
2022-12-29 14:01:03,29.97,81.9,10.21,1020,1.54,87
2022-12-29 13:45:59,32.09,78.66,10.5,1021,1.03,0
2022-12-29 13:31:03,35.91,85.15,10.5,1021,1.03,0
2022-12-29 13:15:59,38.77,82.18,11.07,1021,1.03,0
2022-12-29 13:02:32,35.44,86.29,9.96,1021,1.03,0
2022-12-29 12:31:05,35.08,83.88,10.87,1022,1.54,40
2022-12-29 12:16:01,36.32,86.04,10.4,1022,1.54,40
2022-12-29 12:01:01,29.38,87.35,9.48,1022,1.54,40
2022-12-29 11:46:08,26.18,84.17,9.46,1022,0.51,40
2022-12-29 11:31:03,23.61,86.33,9.68,1022,0.51,40
2022-12-29 11:16:01,26.64,89.6,8.61,1022,0.51,40
2022-12-29 11:00:57,29.19,93.04,6.21,1022,0.51,40
2022-12-29 10:30:58,57.06,93.34,4.87,1023,1.03,75
2022-12-29 10:15:51,62.91,93.63,4.51,1023,1.03,75
2022-12-29 10:00:51,66.49,93.58,4.52,1023,1.03,75
2022-12-29 09:45:55,77.82,92.84,4.64,1023,0.51,20
2022-12-29 09:30:50,95.91,92.47,4.83,1023,0.51,20
2022-12-29 09:15:49,104.37,93.57,4.97,1023,0.51,20
2022-12-29 09:00:51,95.74,95.13,4.11,1023,0.51,20
2022-12-29 08:45:49,136.12,96.73,3.3,1022,1.03,0
2022-12-29 08:30:53,176.65,97.07,2.05,1022,1.03,0
2022-12-29 08:15:47,165.24,95.69,1.02,1022,1.03,0
2022-12-29 08:00:44,185.25,94.4,0.33,1022,1.03,0
2022-12-29 07:45:46,199.17,93.26,-0.12,1022,1.54,0
2022-12-29 07:30:39,195.55,92.28,-0.54,1022,1.54,0
2022-12-29 07:15:44,183.4,92.14,-0.65,1022,1.54,0
2022-12-29 07:00:44,149.43,91.6,-0.57,1022,1.54,0
2022-12-29 06:45:42,176.9,91.45,-0.51,1022,1.03,0
2022-12-29 06:30:42,188.8,92.26,-0.33,1022,1.03,0
2022-12-29 06:15:43,144.99,92.2,-0.4,1022,1.03,0
2022-12-29 06:00:41,125.04,92.29,-0.32,1022,1.03,0
2022-12-29 05:45:45,156.88,92.29,-0.19,1022,1.54,7
2022-12-29 05:30:41,122.91,92.91,-0.12,1022,1.54,7
2022-12-29 05:15:44,130.04,92.63,-0.18,1022,1.54,7
2022-12-29 05:00:41,145.22,92.25,-0.34,1022,1.54,7
2022-12-29 04:45:43,166.81,92.17,-0.13,1022,1.54,7
2022-12-29 04:30:41,188.12,91.87,-0.09,1022,1.54,7
2022-12-29 04:15:45,207.13,91.82,-0.05,1022,1.54,7
2022-12-29 04:00:41,213.4,91.67,0.08,1022,1.54,7
