valid_at,pm2p5,relative_humidity,temperature,pressure,wind_speed,cloud_coverage
2022-04-29 23:45:33,19.02,52,15.05,1021,2.57,0
2022-04-29 23:30:29,13.8,52,15.05,1021,2.57,0
2022-04-29 23:15:31,12.32,52,15.05,1021,2.57,0
2022-04-29 23:00:37,12.93,52,15.05,1021,2.57,0
2022-04-29 22:45:33,13.76,50,15.53,1021,2.57,0
2022-04-29 22:30:29,11.61,50,15.53,1021,2.57,0
2022-04-29 22:15:30,11.29,50,15.53,1021,2.57,0
2022-04-29 21:30:35,8.0,53,15.46,1022,2.06,0
2022-04-29 21:00:29,6.24,53,15.46,1022,2.06,0
2022-04-29 20:45:29,6.81,55,15.7,1021,1.54,0
2022-04-29 20:30:39,9.66,55,15.7,1021,1.54,0
2022-04-29 20:15:31,6.45,55,15.7,1021,1.54,0
2022-04-29 20:00:38,10.23,55,15.7,1021,1.54,0
2022-04-29 19:45:35,9.24,47,18.08,1020,1.03,0
2022-04-29 19:30:31,10.61,47,18.08,1020,1.03,0
2022-04-29 19:15:34,5.6,47,18.08,1020,1.03,0
2022-04-29 18:45:30,3.79,42,19.61,1020,2.57,75
2022-04-29 18:15:31,7.99,42,19.61,1020,2.57,75
2022-04-29 18:00:41,5.82,42,19.61,1020,2.57,75
2022-04-29 17:45:30,3.69,40,21.34,1019,3.6,0
2022-04-29 17:00:35,8.18,40,21.34,1019,3.6,0
2022-04-29 16:15:33,11.95,39,22.03,1020,2.06,0
2022-04-29 16:00:31,9.57,39,22.03,1020,2.06,0
2022-04-29 15:30:34,9.86,38,21.9,1020,2.57,0
2022-04-29 15:15:32,9.04,38,21.9,1020,2.57,0
2022-04-29 15:00:35,4.98,38,21.9,1020,2.57,0
2022-04-29 14:15:33,7.61,35,22.4,1021,2.68,0
2022-04-29 14:00:37,4.0,35,22.4,1021,2.68,0
2022-04-29 12:45:36,5.22,36,21.27,1022,2.68,52
2022-04-29 12:30:36,6.84,36,21.27,1022,2.68,52
2022-04-29 12:15:28,10.55,36,21.27,1022,2.68,52
2022-04-29 12:00:31,4.76,36,21.27,1022,2.68,52
2022-04-29 11:45:32,4.72,37,20.56,1023,2.24,40
2022-04-29 11:30:41,4.5,37,20.56,1023,2.24,40
2022-04-29 10:30:33,8.99,37,20.19,1023,2.68,56
2022-04-29 10:00:30,9.17,37,20.19,1023,2.68,56
2022-04-29 09:15:30,7.45,42,18.96,1025,1.54,75
2022-04-29 09:00:39,5.7,42,18.96,1025,1.54,75
2022-04-29 08:45:32,5.68,51,17.72,1024,0.51,75
2022-04-29 08:30:35,9.16,51,17.72,1024,0.51,75
2022-04-29 08:15:33,10.04,51,17.72,1024,0.51,75
2022-04-29 08:00:48,5.97,51,17.72,1024,0.51,75
2022-04-29 07:45:31,7.04,56,16.31,1025,1.54,40
2022-04-29 07:30:30,7.71,56,16.31,1025,1.54,40
2022-04-29 07:15:33,13.35,56,16.31,1025,1.54,40
2022-04-29 07:00:31,12.32,56,16.31,1025,1.54,40
2022-04-29 06:15:30,11.77,62,14.16,1025,0.51,75
2022-04-29 06:00:33,12.45,62,14.16,1025,0.51,75
2022-04-29 05:45:39,9.46,64,13.44,1024,1.54,40
2022-04-29 05:15:39,11.19,64,13.44,1024,1.54,40
2022-04-29 05:00:28,12.43,64,13.44,1024,1.54,40
2022-04-29 04:15:29,14.85,62,13.64,1024,2.06,75
2022-04-29 04:00:40,13.81,62,13.64,1024,2.06,75
2022-04-29 03:45:31,12.79,63,13.51,1025,2.57,75
2022-04-29 03:30:32,11.99,63,13.51,1025,2.57,75
2022-04-29 03:00:30,11.6,63,13.51,1025,2.57,75
2022-04-29 02:45:31,7.78,63,13.57,1025,2.57,40
2022-04-29 02:30:29,10.23,63,13.57,1025,2.57,40
2022-04-29 02:15:28,13.16,63,13.57,1025,2.57,40
2022-04-29 02:00:28,13.39,63,13.57,1025,2.57,40
2022-04-29 01:45:29,15.21,63,13.83,1025,3.6,0
2022-04-29 01:15:34,10.08,63,13.83,1025,3.6,0
2022-04-29 00:30:27,13.41,60,14.14,1025,3.09,0
2022-04-29 00:15:29,10.56,60,14.14,1025,3.09,0
2022-04-29 00:00:32,7.63,60,14.14,1025,3.09,0
2022-04-28 23:45:41,7.11,58,14.55,1024,3.6,0
2022-04-28 23:30:39,11.94,58,14.55,1024,3.6,0
2022-04-28 23:15:30,7.01,58,14.55,1024,3.6,0
2022-04-28 23:00:43,12.84,58,14.55,1024,3.6,0
2022-04-28 22:45:40,12.03,54,14.63,1024,3.09,0
2022-04-28 21:45:35,6.06,57,14.68,1023,2.57,0
2022-04-28 21:30:30,4.62,57,14.68,1023,2.57,0
2022-04-28 21:00:29,4.28,57,14.68,1023,2.57,0
2022-04-28 20:30:30,8.15,56,15.14,1022,2.06,0
2022-04-28 20:00:32,7.56,56,15.14,1022,2.06,0
2022-04-28 19:00:30,6.23,47,16.18,1021,2.57,0
2022-04-28 18:45:36,3.41,37,21.2,1021,3.09,0
2022-04-28 18:30:29,3.69,37,21.2,1021,3.09,0
2022-04-28 18:15:40,3.68,37,21.2,1021,3.09,0
2022-04-28 18:00:34,3.21,37,21.2,1021,3.09,0
2022-04-28 17:45:27,6.76,35,22.19,1021,2.57,0
2022-04-28 17:30:30,3.46,35,22.19,1021,2.57,0
2022-04-28 16:45:31,2.54,30,22.46,1021,3.09,0
2022-04-28 16:30:37,2.66,30,22.46,1021,3.09,0
2022-04-28 16:15:42,3.28,30,22.46,1021,3.09,0
2022-04-28 15:30:38,3.67,29,23.14,1021,2.06,0
2022-04-28 15:15:49,7.22,29,23.14,1021,2.06,0
2022-04-28 14:45:33,4.88,35,22.41,1021,2.06,0
2022-04-28 14:30:43,3.05,35,22.41,1021,2.06,0
2022-04-28 14:15:32,2.88,35,22.41,1021,2.06,0
