valid_at,pm2p5,relative_humidity,temperature,pressure,wind_speed,cloud_coverage
2022-04-29 23:45:16,3.75,44.64,10.96,1021,2.57,0
2022-04-29 23:30:13,5.0,44.37,10.58,1021,2.57,0
2022-04-29 23:15:16,4.01,43.67,10.37,1021,2.57,0
2022-04-29 23:00:15,13.11,43.45,10.58,1021,2.57,0
2022-04-29 22:45:16,28.86,44.0,10.32,1021,2.57,0
2022-04-29 22:30:14,93.49,42.2,9.41,1021,2.57,0
2022-04-29 22:15:12,7.48,40.89,9.73,1021,2.57,0
2022-04-29 22:00:17,3.77,40.4,10.37,1021,2.57,0
2022-04-29 21:45:15,6.28,40.64,10.85,1022,2.06,0
2022-04-29 21:30:17,2.49,39.21,10.9,1022,2.06,0
2022-04-29 21:15:17,4.01,38.45,11.17,1022,2.06,0
2022-04-29 21:00:19,2.03,37.87,11.7,1022,2.06,0
2022-04-29 20:45:18,5.07,37.32,12.13,1021,1.54,0
2022-04-29 20:30:19,2.55,36.83,12.61,1021,1.54,0
2022-04-29 20:15:18,2.63,36.83,12.88,1021,1.54,0
2022-04-29 20:00:20,3.37,36.65,12.67,1021,1.54,0
2022-04-29 19:45:18,2.63,36.65,12.88,1020,1.03,0
2022-04-29 19:30:20,7.36,36.25,13.25,1020,1.03,0
2022-04-29 19:15:19,2.54,35.94,13.95,1020,1.03,0
2022-04-29 19:00:20,2.57,36.16,14.43,1020,1.03,0
2022-04-29 18:45:21,1.5,35.06,14.91,1020,2.57,75
2022-04-29 18:30:18,2.73,35.09,15.12,1020,2.57,75
2022-04-29 18:15:20,9.79,34.36,16.08,1020,2.57,75
2022-04-29 18:00:20,4.08,33.93,16.67,1020,2.57,75
2022-04-29 17:45:24,2.48,33.38,17.05,1019,3.6,0
2022-04-29 17:30:24,25.14,32.92,17.69,1019,3.6,0
2022-04-29 17:15:26,18.83,31.94,18.11,1019,3.6,0
2022-04-29 17:00:30,8.0,30.85,18.97,1019,3.6,0
2022-04-29 16:45:28,6.15,29.93,19.77,1020,2.06,0
2022-04-29 16:30:34,4.87,27.82,19.13,1020,2.06,0
2022-04-29 16:15:39,2.79,27.27,22.07,1020,2.06,0
2022-04-29 16:00:41,5.01,25.78,24.04,1020,2.06,0
2022-04-29 15:47:02,3.94,23.49,25.59,1020,2.57,0
2022-04-29 15:30:40,6.3,25.66,24.26,1020,2.57,0
2022-04-29 15:15:38,6.66,25.11,23.62,1020,2.57,0
2022-04-29 15:00:41,3.57,24.59,23.94,1020,2.57,0
2022-04-29 14:45:42,2.52,25.14,24.63,1021,2.68,0
2022-04-29 14:30:40,4.35,24.92,24.2,1021,2.68,0
2022-04-29 14:15:38,1.83,26.08,24.42,1021,2.68,0
2022-04-29 14:00:38,5.03,25.78,23.78,1021,2.68,0
2022-04-29 13:45:38,1.8,25.05,24.2,1021,2.24,63
2022-04-29 13:30:43,2.62,24.77,24.42,1021,2.24,63
2022-04-29 13:17:05,4.45,22.05,26.29,1021,2.24,63
2022-04-29 13:00:40,4.54,23.09,25.75,1021,2.24,63
2022-04-29 12:45:39,3.2,22.85,26.29,1022,2.68,52
2022-04-29 12:30:45,2.82,21.75,26.29,1022,2.68,52
2022-04-29 12:15:45,3.9,21.5,27.14,1022,2.68,52
2022-04-29 12:00:45,3.49,20.65,27.68,1022,2.68,52
2022-04-29 11:45:51,5.39,20.71,28.9,1023,2.24,40
2022-04-29 11:30:44,3.31,21.5,29.07,1023,2.24,40
2022-04-29 11:15:43,24.62,22.45,26.29,1023,2.24,40
2022-04-29 11:00:45,16.73,20.8,27.94,1023,2.24,40
2022-04-29 10:45:49,11.6,19.4,28.85,1023,2.68,56
2022-04-29 10:30:54,1.14,17.23,32.27,1023,2.68,56
2022-04-29 10:15:54,6.98,15.43,34.03,1023,2.68,56
2022-04-29 10:00:53,7.98,16.9,33.13,1023,2.68,56
2022-04-29 09:45:52,5.33,18.67,33.93,1025,1.54,75
2022-04-29 09:30:51,6.51,16.13,32.43,1025,1.54,75
2022-04-29 09:15:49,6.69,18.67,31.79,1025,1.54,75
2022-04-29 09:00:46,10.67,19.83,32.64,1025,1.54,75
2022-04-29 08:45:49,2.72,20.8,33.13,1024,0.51,75
2022-04-29 08:30:43,15.36,23.24,29.92,1024,0.51,75
2022-04-29 08:15:36,8.48,27.09,25.81,1024,0.51,75
2022-04-29 08:00:37,7.11,31.18,24.04,1024,0.51,75
2022-04-29 07:45:31,9.24,37.23,21.0,1025,1.54,40
2022-04-29 07:30:30,365.53,39.33,19.18,1025,1.54,40
2022-04-29 07:15:28,4.2,43.36,17.9,1025,1.54,40
